Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index ,Matches
Underwood D L,England,0.85%,3,3,1,0,0,1,5,5,15.63,2.50,0,0,0209,Home,03
Walker M H N,Australia,1.03%,2,2,0,0,0,1,5,5,38.46,2.50,1,0,0209,Away,03
Davis I C,Australia,0.21%,2,2,0,0,0,1,1,1,14.29,0.50,0,0,0209,Away,03
Dymock G,Australia,0.41%,1,1,1,0,0,0,2*,2,100.00,-,0,0,0209,Away,03
Pascoe L S,Australia,0.82%,2,1,1,0,0,0,4*,4,33.33,-,1,0,0209,Away,03
Gower D I,England,30.15%,4,3,2,0,1,0,101*,123,88.49,123.00,2,0,0215,Away,04
Boycott G,England,18.14%,4,3,1,0,0,0,39*,74,36.27,37.00,2,0,0215,Away,04
Cosier G J,Australia,8.41%,3,2,1,0,0,0,28,36,150.00,36.00,1,0,0215,Home,04
Botham I T,England,10.78%,4,2,0,0,0,0,31,44,73.33,22.00,2,0,0215,Away,04
Wood G M,Australia,20.33%,4,4,0,0,0,0,30,87,47.80,21.75,2,0,0215,Home,04
Yallop G N,Australia,15.19%,4,3,0,0,0,0,31,65,38.01,21.67,1,0,0215,Home,04
Laughlin T J,Australia,4.91%,3,2,1,0,0,0,15*,21,56.76,21.00,0,0,0215,Home,04
Hughes K J,Australia,11.68%,4,4,1,1,0,2,50,50,43.48,16.67,2,0,0215,Home,04
Brearley J M,England,11.27%,4,3,0,0,0,2,46,46,36.51,15.33,2,0,0215,Away,04
Gooch G A,England,11.27%,4,3,0,0,0,0,23,46,42.59,15.33,0,0,0215,Away,04
Edmonds P H,England,3.68%,3,1,0,0,0,0,15,15,35.71,15.00,1,0,0215,Away,04
Darling W M,Australia,6.54%,3,3,1,0,0,0,14,28,43.08,14.00,0,0,0215,Home,04
Border A R,Australia,2.57%,2,1,0,0,0,0,11,11,61.11,11.00,0,0,0215,Home,04
Maclean J A,Australia,2.57%,2,1,0,0,0,0,11,11,33.33,11.00,0,0,0215,Home,04
Hilditch A M J,Australia,2.34%,1,1,0,0,0,0,10,10,25.64,10.00,0,0,0215,Home,04
Carlson P H,Australia,2.57%,4,2,0,0,0,1,11,11,36.67,5.50,0,0,0215,Home,04
Randall D W,England,3.92%,4,3,0,0,0,1,12,16,30.77,5.33,1,0,0215,Away,04
Hogg R M,Australia,0.93%,1,1,0,0,0,0,4,4,66.67,4.00,0,0,0215,Home,04
Bairstow D L,England,0.98%,3,2,0,0,0,0,3,4,12.50,2.00,2,0,0215,Away,04
